Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
storage,STORAGE,"",MIKOŁAJ ROSZAK,STORAGE,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/STORAGE.jpg?v=1595079683,1,,false,,,,,,,,,,,,,,,,,kg,,
start-up,START UP,"",MIKOŁAJ ROSZAK,START UP,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/STARTUP.jpg?v=1595079685,1,,false,,,,,,,,,,,,,,,,,kg,,
specialist-projects,SPECIALIST PROJECTS,"",MIKOŁAJ ROSZAK,SPECIALIST PROJECTS,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/SPECIALISTPROJECTS.jpg?v=1595079687,1,,false,,,,,,,,,,,,,,,,,kg,,
sounds-systems,SOUNDS SYSTEMS,"",MIKOŁAJ ROSZAK,SOUNDS SYSTEMS,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/SOUNDSSYSTEMS.jpg?v=1595079689,1,,false,,,,,,,,,,,,,,,,,kg,,
software,SOFTWARE,"",MIKOŁAJ ROSZAK,SOFTWARE,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/SOFTWARE.jpg?v=1595079691,1,,false,,,,,,,,,,,,,,,,,kg,,
shoes,SHOES,"",MIKOŁAJ ROSZAK,SHOES,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/SHOES.jpg?v=1595079694,1,,false,,,,,,,,,,,,,,,,,kg,,
ship-building-and-design,SHIP BUILDING AND DESIGN,"",MIKOŁAJ ROSZAK,SHIP BUILDING AND DESIGN,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/SHIPBUILDINGANDDESIGN.jpg?v=1595079696,1,,false,,,,,,,,,,,,,,,,,kg,,
programming,PROGRAMMING,"",MIKOŁAJ ROSZAK,PROGRAMMING,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/PROGRAMMING.jpg?v=1595079698,1,,false,,,,,,,,,,,,,,,,,kg,,
port-service,PORT SERVICE,"",MIKOŁAJ ROSZAK,PORT SERVICE,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/PORTSERVICE.jpg?v=1595079700,1,,false,,,,,,,,,,,,,,,,,kg,,
perfume,PERFUME,"",MIKOŁAJ ROSZAK,PERFUME,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/PERFUME.jpg?v=1595079702,1,,false,,,,,,,,,,,,,,,,,kg,,
nutrition,NUTRITION,"",MIKOŁAJ ROSZAK,NUTRITION,"spo-default, spo-disabled",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,10000.00,,true,true,"",https://cdn.shopify.com/s/files/1/0036/3990/2271/products/NUTRITION.jpg?v=1595079131,1,,false,,,,,,,,,,,,,,,,,kg,,
